File Number,Rarity Score,Position
682,6943.30,1
77,6817.22,2
227,5877.15,3
277,5574.55,4
589,5399.50,5
111,5386.90,6
714,5374.84,7
206,5330.55,8
988,5316.62,9
669,5308.17,10
267,5307.19,11
118,5272.10,12
971,5246.14,13
253,5213.36,14
216,5207.19,15
783,5188.69,16
845,5158.29,17
128,5147.34,18
544,5127.76,19
924,5098.22,20
93,5060.56,21
943,5054.09,22
835,5012.59,23
969,5010.08,24
29,5009.26,25
37,5002.25,26
54,4974.94,27
441,4968.73,28
380,4950.48,29
703,4931.16,30
388,4897.29,31
528,4886.54,32
569,4882.95,33
744,4878.20,34
170,4862.50,35
432,4859.95,36
351,4818.69,37
686,4816.29,38
210,4748.43,39
38,4732.97,40
878,4725.65,41
706,4704.04,42
183,4683.36,43
402,4678.33,44
592,4665.72,45
12,4661.09,46
214,4650.36,47
639,4626.50,48
431,4622.27,49
665,4582.42,50
47,4562.64,51
850,4562.25,52
160,4539.54,53
200,4530.79,54
999,4513.20,55
724,4504.75,56
403,4495.43,57
980,4492.38,58
735,4451.03,59
680,4440.54,60
36,4436.57,61
780,4421.10,62
717,4409.24,63
590,4406.76,64
52,4373.65,65
89,4352.19,66
685,4348.74,67
177,4348.24,68
781,4340.09,69
812,4340.09,70
985,4338.28,71
827,4337.04,72
648,4332.56,73
410,4331.11,74
858,4331.11,75
342,4303.84,76
667,4302.92,77
387,4288.09,78
603,4279.77,79
140,4277.50,80
752,4252.44,81
373,4248.79,82
611,4241.70,83
764,4241.22,84
545,4237.81,85
389,4230.46,86
67,4220.41,87
572,4219.75,88
863,4211.75,89
370,4202.14,90
406,4202.14,91
422,4190.08,92
610,4176.14,93
738,4160.80,94
840,4160.06,95
743,4153.06,96
886,4145.13,97
514,4140.39,98
44,4140.14,99
419,4131.71,100
580,4123.89,101
174,4105.62,102
942,4094.36,103
751,4090.29,104
967,4053.79,105
231,4051.69,106
888,4041.47,107
767,4034.34,108
473,4031.14,109
690,4027.38,110
301,4026.28,111
98,4012.89,112
653,4010.81,113
919,4010.33,114
336,4005.87,115
73,3997.38,116
866,3996.29,117
6,3994.82,118
176,3987.44,119
223,3987.15,120
841,3981.84,121
124,3980.44,122
104,3957.80,123
894,3957.28,124
94,3951.19,125
258,3941.53,126
497,3936.04,127
70,3935.32,128
87,3929.32,129
912,3928.62,130
581,3926.20,131
833,3925.89,132
645,3925.62,133
467,3911.66,134
543,3910.34,135
975,3907.42,136
11,3905.73,137
908,3899.80,138
923,3898.29,139
1,3894.25,140
220,3887.92,141
243,3883.99,142
692,3880.94,143
417,3875.64,144
948,3870.19,145
62,3867.13,146
670,3863.47,147
981,3861.09,148
506,3859.43,149
433,3843.59,150
385,3841.86,151
319,3834.64,152
82,3834.48,153
621,3831.38,154
953,3831.38,155
34,3824.38,156
254,3823.29,157
619,3823.14,158
534,3815.74,159
661,3807.81,160
439,3804.73,161
334,3802.85,162
399,3778.03,163
672,3774.39,164
119,3764.05,165
24,3743.95,166
591,3743.66,167
415,3721.24,168
522,3720.49,169
19,3716.54,170
230,3714.07,171
9,3712.64,172
173,3712.64,173
519,3711.18,174
761,3702.35,175
566,3701.66,176
156,3697.98,177
245,3690.34,178
503,3690.34,179
232,3685.47,180
693,3675.62,181
184,3673.84,182
428,3673.30,183
843,3662.37,184
83,3660.81,185
626,3659.25,186
418,3645.31,187
263,3644.79,188
356,3644.79,189
337,3643.97,190
269,3643.13,191
494,3639.29,192
358,3638.37,193
240,3636.82,194
567,3636.82,195
213,3636.72,196
530,3636.27,197
330,3633.06,198
838,3630.94,199
209,3629.45,200
165,3614.77,201
487,3614.29,202
218,3612.70,203
711,3608.87,204
739,3605.33,205
60,3605.03,206
509,3595.81,207
978,3591.88,208
906,3583.60,209
844,3571.60,210
413,3570.14,211
798,3570.03,212
59,3568.54,213
466,3568.01,214
324,3561.58,215
542,3556.33,216
317,3554.11,217
983,3549.33,218
521,3547.55,219
338,3544.36,220
784,3527.86,221
873,3523.07,222
609,3517.83,223
807,3517.08,224
966,3504.94,225
949,3497.94,226
831,3490.95,227
39,3489.98,228
20,3487.90,229
594,3470.72,230
68,3470.26,231
490,3467.67,232
856,3463.86,233
562,3461.09,234
725,3446.80,235
733,3446.10,236
437,3445.94,237
585,3440.43,238
712,3439.36,239
